Date,Department,ARMS Department ID,Total # of Employees,# of Employees with Debt,% Employees with Debt,Total Amount Due
7/19/14,CITY TREASURER,TREASURER,24,0,0,0
7/19/14,WATER MANAGEMENT,WATER,1826,9,0.5,13942.32
7/26/14,ADMINISTRATIVE HEARING,AHMS,40,2,5,122.29
7/26/14,COMM ANIMAL CARE AND CONTROL,ANIMAL,69,2,2.9,1170
7/26/14,AVIATION,AVIATION,1256,4,0.3,1706.22
7/26/14,BUS AFFAIRS AND CONSUMER PROT,BACP,180,0,0,0
7/26/14,BUILDINGS,BUILDINGS,257,0,0,0
7/26/14,CULTURAL AFFAIRS,CA,77,0,0,0
7/26/14,CHICAGO BOARD OF EDUCATION,CBOE,46130,1650,3.6,1207947.66
7/26/14,CITY COLLEGES OF CHICAGO,CCC,5918,80,1.4,79384.37
7/26/14,FIRE DEPARTMENT,CFD,4736,74,1.6,30046.34
7/26/14,CHICAGO HOUSING AUTHORITY,CHA,450,5,1.1,1009.46
7/26/14,CITY CLERK,CLERK,142,1,0.7,166.6
7/26/14,DEPARTMENT OF PLANNING AND DEV,COMM_DEVEL,212,0,0,0
7/26/14,CITY COUNCIL,COUNCIL,443,12,2.7,3725.74
7/26/14,CHICAGO PARK DISTRICT,CPDT,2988,120,4,97305.25
7/26/14,CHICAGO PUBLIC LIBRARY,CPL,972,2,0.2,1318.72
7/26/14,CHICAGO TRANSIT AUTHORITY,CTA,10931,1179,10.8,666892.6
7/26/14,DOIT,DOIT,96,0,0,0
7/26/14,BOARD OF ELECTION COMMISSIONER,ELECTIONS,116,0,0,0
7/26/14,BOARD OF ETHICS,ETHICS,9,0,0,0
7/26/14,FAMILY AND SUPPORT SERVICES,FAMILY_SUPPORT,714,0,0,0
7/26/14,FINANCE,FINANCE,529,1,0.2,62.75
7/26/14,FLEET AND FACILITY MGMT,FLEETFM,907,3,0.3,522.82
7/26/14,PUBLIC HEALTH,HEALTH,561,3,0.5,758.13
7/26/14,COMMISSION ON HUMAN RELATIONS,HR,18,0,0,0
7/26/14,HUMAN RESOURCES,HUMANRESOURCES,63,0,0,0
7/26/14,IPRA,IPRA,86,0,0,0
7/26/14,LAW,LAW,448,1,0.2,329.41
7/26/14,OFFICE OF THE MAYOR,MAYOR,118,0,0,0
7/26/14,MAYORS OFFICE-DISABILITIES,MAYOR_DISABIL,29,0,0,0
7/26/14,OFFICE OF BUDGET & MANAGEMENT,OBM,44,0,0,0
7/26/14,OFFICE OF EMERGENCY MGMT & COM,OEMC,1204,15,1.2,9788.55
7/26/14,POLICE,POLICE,13559,47,0.3,53546.02
7/26/14,PROCUREMENT SERV,PROCUREMENT,74,0,0,0
7/26/14,STREETS AND SANITATION,STREETSAN,2054,11,0.5,9810.38
7/26/14,TRANSPORTATION,TRANS,1180,6,0.5,1789.21
7/26/14,CITY TREASURER,TREASURER,24,0,0,0
7/26/14,WATER MANAGEMENT,WATER,1826,10,0.5,14076.95
8/2/14,ADMINISTRATIVE HEARING,AHMS,40,2,5,122.29
8/2/14,COMM ANIMAL CARE AND CONTROL,ANIMAL,69,1,1.4,150
8/2/14,AVIATION,AVIATION,1256,1,0.1,400
8/2/14,BUS AFFAIRS AND CONSUMER PROT,BACP,180,0,0,0
8/2/14,BUILDINGS,BUILDINGS,257,0,0,0
8/2/14,CULTURAL AFFAIRS,CA,77,0,0,0
8/2/14,CHICAGO BOARD OF EDUCATION,CBOE,46130,1584,3.4,1108443.47
8/2/14,CITY COLLEGES OF CHICAGO,CCC,5918,81,1.4,79344.33
8/2/14,FIRE DEPARTMENT,CFD,4736,74,1.6,29851.18
8/2/14,CHICAGO HOUSING AUTHORITY,CHA,450,4,0.9,858.13
8/2/14,CITY CLERK,CLERK,142,1,0.7,166.6
8/2/14,DEPARTMENT OF PLANNING AND DEV,COMM_DEVEL,212,0,0,0
8/2/14,CITY COUNCIL,COUNCIL,443,12,2.7,3725.82
8/2/14,CHICAGO PARK DISTRICT,CPDT,2988,119,4,95520.44
8/2/14,CHICAGO PUBLIC LIBRARY,CPL,972,2,0.2,1318.72
8/2/14,CHICAGO TRANSIT AUTHORITY,CTA,10931,1151,10.5,657001.53
8/2/14,DOIT,DOIT,96,0,0,0
8/2/14,BOARD OF ELECTION COMMISSIONER,ELECTIONS,116,0,0,0
8/2/14,BOARD OF ETHICS,ETHICS,9,0,0,0
8/2/14,FAMILY AND SUPPORT SERVICES,FAMILY_SUPPORT,714,0,0,0
8/2/14,FINANCE,FINANCE,529,1,0.2,62.75
8/2/14,FLEET AND FACILITY MGMT,FLEETFM,907,4,0.4,714.78
8/2/14,PUBLIC HEALTH,HEALTH,561,3,0.5,758.13
8/2/14,COMMISSION ON HUMAN RELATIONS,HR,18,0,0,0
8/2/14,HUMAN RESOURCES,HUMANRESOURCES,63,0,0,0
8/2/14,IPRA,IPRA,86,0,0,0
8/2/14,LAW,LAW,448,1,0.2,329.41
8/2/14,OFFICE OF THE MAYOR,MAYOR,118,0,0,0
8/2/14,MAYORS OFFICE-DISABILITIES,MAYOR_DISABIL,29,0,0,0
8/2/14,OFFICE OF BUDGET & MANAGEMENT,OBM,44,0,0,0
8/2/14,OFFICE OF EMERGENCY MGMT & COM,OEMC,1204,16,1.3,10180.97
8/2/14,POLICE,POLICE,13559,46,0.3,53148.64
8/2/14,PROCUREMENT SERV,PROCUREMENT,74,0,0,0
8/2/14,STREETS AND SANITATION,STREETSAN,2054,8,0.4,7336.12
8/2/14,TRANSPORTATION,TRANS,1180,3,0.3,597.06
8/2/14,CITY TREASURER,TREASURER,24,0,0,0
8/2/14,WATER MANAGEMENT,WATER,1826,6,0.3,12743.59
8/9/14,ADMINISTRATIVE HEARING,AHMS,40,2,5,122.29
8/9/14,COMM ANIMAL CARE AND CONTROL,ANIMAL,68,1,1.5,150
8/9/14,AVIATION,AVIATION,1262,3,0.2,1428.72
8/9/14,BUS AFFAIRS AND CONSUMER PROT,BACP,179,0,0,0
8/9/14,BUILDINGS,BUILDINGS,260,0,0,0
8/9/14,CULTURAL AFFAIRS,CA,79,0,0,0
8/9/14,CHICAGO BOARD OF EDUCATION,CBOE,46130,1528,3.3,1049544.82
8/9/14,CITY COLLEGES OF CHICAGO,CCC,5918,78,1.3,80584.97
8/9/14,FIRE DEPARTMENT,CFD,4707,72,1.5,29066.96
8/9/14,CHICAGO HOUSING AUTHORITY,CHA,450,4,0.9,858.13
8/9/14,CITY CLERK,CLERK,140,1,0.7,166.6
8/9/14,DEPARTMENT OF PLANNING AND DEV,COMM_DEVEL,209,0,0,0
8/9/14,CITY COUNCIL,COUNCIL,433,11,2.5,3570.09
8/9/14,CHICAGO PARK DISTRICT,CPDT,2988,109,3.6,86804.52
8/9/14,CHICAGO PUBLIC LIBRARY,CPL,970,2,0.2,1318.72
8/9/14,CHICAGO TRANSIT AUTHORITY,CTA,10931,1135,10.4,633492.52
8/9/14,DOIT,DOIT,96,0,0,0
8/9/14,BOARD OF ELECTION COMMISSIONER,ELECTIONS,116,0,0,0
8/9/14,BOARD OF ETHICS,ETHICS,9,0,0,0
8/9/14,FAMILY AND SUPPORT SERVICES,FAMILY_SUPPORT,713,0,0,0
8/9/14,FINANCE,FINANCE,530,1,0.2,62.75
8/9/14,FLEET AND FACILITY MGMT,FLEETFM,908,4,0.4,714.78
8/9/14,PUBLIC HEALTH,HEALTH,557,3,0.5,758.13
8/9/14,COMMISSION ON HUMAN RELATIONS,HR,18,0,0,0
8/9/14,HUMAN RESOURCES,HUMANRESOURCES,66,0,0,0
8/9/14,IPRA,IPRA,86,0,0,0
8/9/14,LAW,LAW,448,1,0.2,329.41
8/9/14,OFFICE OF THE MAYOR,MAYOR,111,0,0,0
8/9/14,MAYORS OFFICE-DISABILITIES,MAYOR_DISABIL,29,0,0,0
8/9/14,OFFICE OF BUDGET & MANAGEMENT,OBM,46,0,0,0
8/9/14,OFFICE OF EMERGENCY MGMT & COM,OEMC,1190,12,1,8354.1
8/9/14,POLICE,POLICE,13493,40,0.3,52025.28
8/9/14,PROCUREMENT SERV,PROCUREMENT,73,0,0,0
8/9/14,STREETS AND SANITATION,STREETSAN,2047,8,0.4,7336.12
8/9/14,TRANSPORTATION,TRANS,1185,3,0.3,542.07
8/9/14,CITY TREASURER,TREASURER,24,0,0,0
8/9/14,WATER MANAGEMENT,WATER,1852,7,0.4,12433.52
8/16/14,ADMINISTRATIVE HEARING,AHMS,40,2,5,122.29
8/16/14,COMM ANIMAL CARE AND CONTROL,ANIMAL,68,1,1.5,150
8/16/14,AVIATION,AVIATION,1262,4,0.3,1618.82
8/16/14,BUS AFFAIRS AND CONSUMER PROT,BACP,179,0,0,0
8/16/14,BUILDINGS,BUILDINGS,260,0,0,0
8/16/14,CULTURAL AFFAIRS,CA,79,0,0,0
8/16/14,CHICAGO BOARD OF EDUCATION,CBOE,46130,1444,3.1,993489.23
8/16/14,CITY COLLEGES OF CHICAGO,CCC,5918,78,1.3,80184.87
8/16/14,FIRE DEPARTMENT,CFD,4707,69,1.5,26342.26
8/16/14,CHICAGO HOUSING AUTHORITY,CHA,450,4,0.9,858.13
8/16/14,CITY CLERK,CLERK,140,1,0.7,166.6
8/16/14,DEPARTMENT OF PLANNING AND DEV,COMM_DEVEL,209,0,0,0
8/16/14,CITY COUNCIL,COUNCIL,433,10,2.3,3370.16
8/16/14,CHICAGO PARK DISTRICT,CPDT,2988,102,3.4,77311.07
8/16/14,CHICAGO PUBLIC LIBRARY,CPL,970,2,0.2,1318.72
8/16/14,CHICAGO TRANSIT AUTHORITY,CTA,10931,1128,10.3,627154.53
8/16/14,DOIT,DOIT,96,0,0,0
8/16/14,BOARD OF ELECTION COMMISSIONER,ELECTIONS,116,0,0,0
8/16/14,BOARD OF ETHICS,ETHICS,9,0,0,0
8/16/14,FAMILY AND SUPPORT SERVICES,FAMILY_SUPPORT,713,0,0,0
8/16/14,FINANCE,FINANCE,530,1,0.2,62.75
8/16/14,FLEET AND FACILITY MGMT,FLEETFM,908,4,0.4,714.78
8/16/14,PUBLIC HEALTH,HEALTH,557,3,0.5,758.13
8/16/14,COMMISSION ON HUMAN RELATIONS,HR,18,0,0,0
8/16/14,HUMAN RESOURCES,HUMANRESOURCES,66,0,0,0
8/16/14,IPRA,IPRA,86,0,0,0
8/16/14,LAW,LAW,448,1,0.2,329.41
8/16/14,OFFICE OF THE MAYOR,MAYOR,111,0,0,0
8/16/14,MAYORS OFFICE-DISABILITIES,MAYOR_DISABIL,29,0,0,0
8/16/14,OFFICE OF BUDGET & MANAGEMENT,OBM,46,0,0,0
8/16/14,OFFICE OF EMERGENCY MGMT & COM,OEMC,1190,13,1.1,8195.68
8/16/14,POLICE,POLICE,13493,40,0.3,52422.26
8/16/14,PROCUREMENT SERV,PROCUREMENT,73,0,0,0
8/16/14,STREETS AND SANITATION,STREETSAN,2047,9,0.4,9686.12
8/16/14,TRANSPORTATION,TRANS,1185,3,0.3,542.07
8/16/14,CITY TREASURER,TREASURER,24,0,0,0
8/16/14,WATER MANAGEMENT,WATER,1852,8,0.4,12501.84
8/23/14,ADMINISTRATIVE HEARING,AHMS,40,1,2.5,33.6
8/23/14,COMM ANIMAL CARE AND CONTROL,ANIMAL,68,1,1.5,150
8/23/14,AVIATION,AVIATION,1262,5,0.4,1965.68
8/23/14,BUS AFFAIRS AND CONSUMER PROT,BACP,179,0,0,0
8/23/14,BUILDINGS,BUILDINGS,260,0,0,0
8/23/14,CULTURAL AFFAIRS,CA,79,0,0,0
8/23/14,CHICAGO BOARD OF EDUCATION,CBOE,46130,1400,3,973826.52
8/23/14,CITY COLLEGES OF CHICAGO,CCC,5729,68,1.2,75219.38
8/23/14,FIRE DEPARTMENT,CFD,4707,67,1.4,24071.23
8/23/14,CHICAGO HOUSING AUTHORITY,CHA,450,4,0.9,758.13
8/23/14,CITY CLERK,CLERK,140,2,1.4,443.32
8/23/14,DEPARTMENT OF PLANNING AND DEV,COMM_DEVEL,209,0,0,0
8/23/14,CITY COUNCIL,COUNCIL,433,10,2.3,3370.24
8/23/14,CHICAGO PARK DISTRICT,CPDT,6999,87,1.2,69167.39
8/23/14,CHICAGO PUBLIC LIBRARY,CPL,970,3,0.3,1518.72
8/23/14,CHICAGO TRANSIT AUTHORITY,CTA,10931,1108,10.1,617325.87
8/23/14,DOIT,DOIT,96,0,0,0
8/23/14,BOARD OF ELECTION COMMISSIONER,ELECTIONS,116,0,0,0
8/23/14,BOARD OF ETHICS,ETHICS,9,0,0,0
8/23/14,FAMILY AND SUPPORT SERVICES,FAMILY_SUPPORT,713,0,0,0
8/23/14,FINANCE,FINANCE,530,0,0,0
8/23/14,FLEET AND FACILITY MGMT,FLEETFM,908,3,0.3,614.1
8/23/14,PUBLIC HEALTH,HEALTH,557,2,0.4,386.92
8/23/14,COMMISSION ON HUMAN RELATIONS,HR,18,0,0,0
8/23/14,HUMAN RESOURCES,HUMANRESOURCES,66,0,0,0
8/23/14,IPRA,IPRA,86,0,0,0
8/23/14,LAW,LAW,448,1,0.2,329.41
8/23/14,OFFICE OF THE MAYOR,MAYOR,111,0,0,0
8/23/14,MAYORS OFFICE-DISABILITIES,MAYOR_DISABIL,29,0,0,0
8/23/14,OFFICE OF BUDGET & MANAGEMENT,OBM,46,0,0,0
8/23/14,OFFICE OF EMERGENCY MGMT & COM,OEMC,1190,13,1.1,8195.68
8/23/14,POLICE,POLICE,13493,39,0.3,52100.92
8/23/14,PROCUREMENT SERV,PROCUREMENT,73,0,0,0
8/23/14,STREETS AND SANITATION,STREETSAN,2047,9,0.4,10736.12
8/23/14,TRANSPORTATION,TRANS,1185,3,0.3,542.07
8/23/14,CITY TREASURER,TREASURER,24,0,0,0
8/23/14,WATER MANAGEMENT,WATER,1852,8,0.4,12014.29
8/30/14,ADMINISTRATIVE HEARING,AHMS,40,1,2.5,33.6
8/30/14,COMM ANIMAL CARE AND CONTROL,ANIMAL,68,1,1.5,150
8/30/14,AVIATION,AVIATION,1262,1,0.1,373.08
8/30/14,BUS AFFAIRS AND CONSUMER PROT,BACP,179,0,0,0
8/30/14,BUILDINGS,BUILDINGS,260,0,0,0
8/30/14,CULTURAL AFFAIRS,CA,79,0,0,0
8/30/14,CHICAGO BOARD OF EDUCATION,CBOE,44198,1235,2.8,873011.96
8/30/14,CITY COLLEGES OF CHICAGO,CCC,5729,70,1.2,70785.01
8/30/14,FIRE DEPARTMENT,CFD,4707,67,1.4,24079.85
8/30/14,CHICAGO HOUSING AUTHORITY,CHA,457,4,0.9,758.13
8/30/14,CITY CLERK,CLERK,140,0,0,0
8/30/14,DEPARTMENT OF PLANNING AND DEV,COMM_DEVEL,209,0,0,0
8/30/14,CITY COUNCIL,COUNCIL,433,3,0.7,1937.32
8/30/14,CHICAGO PARK DISTRICT,CPDT,6999,108,1.5,89374.84
8/30/14,CHICAGO PUBLIC LIBRARY,CPL,970,2,0.2,977.13
8/30/14,CHICAGO TRANSIT AUTHORITY,CTA,10931,1080,9.9,600168.15
8/30/14,DOIT,DOIT,96,0,0,0
8/30/14,BOARD OF ELECTION COMMISSIONER,ELECTIONS,116,0,0,0
8/30/14,BOARD OF ETHICS,ETHICS,9,0,0,0
8/30/14,FAMILY AND SUPPORT SERVICES,FAMILY_SUPPORT,713,0,0,0
8/30/14,FINANCE,FINANCE,530,0,0,0
8/30/14,FLEET AND FACILITY MGMT,FLEETFM,908,1,0.1,801.8
8/30/14,PUBLIC HEALTH,HEALTH,557,2,0.4,725.6
8/30/14,COMMISSION ON HUMAN RELATIONS,HR,18,0,0,0
8/30/14,HUMAN RESOURCES,HUMANRESOURCES,66,0,0,0
8/30/14,IPRA,IPRA,86,0,0,0
8/30/14,LAW,LAW,448,0,0,0
8/30/14,OFFICE OF THE MAYOR,MAYOR,111,0,0,0
8/30/14,MAYORS OFFICE-DISABILITIES,MAYOR_DISABIL,29,0,0,0
8/30/14,OFFICE OF BUDGET & MANAGEMENT,OBM,46,0,0,0
8/30/14,OFFICE OF EMERGENCY MGMT & COM,OEMC,1190,13,1.1,8105.68
8/30/14,POLICE,POLICE,13493,38,0.3,54267.31
8/30/14,PROCUREMENT SERV,PROCUREMENT,73,0,0,0
8/30/14,STREETS AND SANITATION,STREETSAN,2047,6,0.3,8171.87
8/30/14,TRANSPORTATION,TRANS,1185,3,0.3,542.07
8/30/14,CITY TREASURER,TREASURER,24,0,0,0
8/30/14,WATER MANAGEMENT,WATER,1852,7,0.4,11804.03
9/6/14,ADMINISTRATIVE HEARING,AHMS,40,0,0,0
9/6/14,COMM ANIMAL CARE AND CONTROL,ANIMAL,70,4,5.7,1497.57
9/6/14,AVIATION,AVIATION,1263,68,5.4,29980.19
9/6/14,BUS AFFAIRS AND CONSUMER PROT,BACP,177,10,5.6,1819.6
9/6/14,BUILDINGS,BUILDINGS,261,10,3.8,2981.97
9/6/14,CULTURAL AFFAIRS,CA,79,3,3.8,801.05
9/6/14,CHICAGO BOARD OF EDUCATION,CBOE,44198,2691,6.1,1704592.79
9/6/14,CITY COLLEGES OF CHICAGO,CCC,5729,246,4.3,155695.57
9/6/14,FIRE DEPARTMENT,CFD,4801,239,5,89259.08
9/6/14,CHICAGO HOUSING AUTHORITY,CHA,457,30,6.6,9993.51
9/6/14,CITY CLERK,CLERK,89,0,0,0
9/6/14,DEPARTMENT OF PLANNING AND DEV,COMM_DEVEL,212,16,7.5,4340.96
9/6/14,CITY COUNCIL,COUNCIL,437,20,4.6,5919.43
9/6/14,CHICAGO PARK DISTRICT,CPDT,6999,381,5.4,276438.2
9/6/14,CHICAGO PUBLIC LIBRARY,CPL,973,34,3.5,16114.77
9/6/14,CHICAGO TRANSIT AUTHORITY,CTA,10931,1882,17.2,1096229.97
9/6/14,DOIT,DOIT,95,0,0,0
9/6/14,BOARD OF ELECTION COMMISSIONER,ELECTIONS,116,5,4.3,960.47
9/6/14,BOARD OF ETHICS,ETHICS,9,1,11.1,235
9/6/14,FAMILY AND SUPPORT SERVICES,FAMILY_SUPPORT,703,29,4.1,11867.27
9/6/14,FINANCE,FINANCE,532,20,3.8,7772.45
9/6/14,FLEET AND FACILITY MGMT,FLEETFM,906,33,3.6,15253.65
9/6/14,PUBLIC HEALTH,HEALTH,557,26,4.7,12508.64
9/6/14,COMMISSION ON HUMAN RELATIONS,HR,18,0,0,0
9/6/14,HUMAN RESOURCES,HUMANRESOURCES,67,0,0,0
9/6/14,IPRA,IPRA,86,4,4.7,1340
9/6/14,LAW,LAW,447,5,1.1,1154.05
9/6/14,OFFICE OF THE MAYOR,MAYOR,105,0,0,0
9/6/14,MAYORS OFFICE-DISABILITIES,MAYOR_DISABIL,30,0,0,0
9/6/14,OFFICE OF BUDGET & MANAGEMENT,OBM,46,0,0,0
9/6/14,OFFICE OF EMERGENCY MGMT & COM,OEMC,1165,79,6.8,45856.51
9/6/14,POLICE,POLICE,13434,457,3.4,261600.4
9/6/14,PROCUREMENT SERV,PROCUREMENT,75,6,8,1769
9/6/14,STREETS AND SANITATION,STREETSAN,2062,171,8.3,84708.93
9/6/14,TRANSPORTATION,TRANS,1193,75,6.3,36009.13
9/6/14,CITY TREASURER,TREASURER,24,0,0,0
9/6/14,WATER MANAGEMENT,WATER,1878,133,7.1,72008.02
9/13/14,ADMINISTRATIVE HEARING,AHMS,40,0,0,0
9/13/14,COMM ANIMAL CARE AND CONTROL,ANIMAL,70,4,5.7,1497.57
9/13/14,AVIATION,AVIATION,1263,59,4.7,27137.35
9/13/14,BUS AFFAIRS AND CONSUMER PROT,BACP,177,10,5.6,1819.6
9/13/14,BUILDINGS,BUILDINGS,261,7,2.7,1481.97
9/13/14,CULTURAL AFFAIRS,CA,79,3,3.8,801.05
9/13/14,CHICAGO BOARD OF EDUCATION,CBOE,44198,2624,5.9,1671035.88
9/13/14,CITY COLLEGES OF CHICAGO,CCC,5729,232,4,147108.6
9/13/14,FIRE DEPARTMENT,CFD,4801,216,4.5,81233.29
9/13/14,CHICAGO HOUSING AUTHORITY,CHA,457,24,5.3,8504.62
9/13/14,CITY CLERK,CLERK,89,0,0,0
9/13/14,DEPARTMENT OF PLANNING AND DEV,COMM_DEVEL,212,16,7.5,4340.96
9/13/14,CITY COUNCIL,COUNCIL,437,19,4.3,5769.5
9/13/14,CHICAGO PARK DISTRICT,CPDT,6999,363,5.2,268670.43
9/13/14,CHICAGO PUBLIC LIBRARY,CPL,973,33,3.4,15546.76
9/13/14,CHICAGO TRANSIT AUTHORITY,CTA,10931,1847,16.9,1064480.79
9/13/14,DOIT,DOIT,95,0,0,0
9/13/14,BOARD OF ELECTION COMMISSIONER,ELECTIONS,116,5,4.3,960.47
9/13/14,BOARD OF ETHICS,ETHICS,9,0,0,0
9/13/14,FAMILY AND SUPPORT SERVICES,FAMILY_SUPPORT,703,29,4.1,11870.71
9/13/14,FINANCE,FINANCE,532,19,3.6,7522.45
9/13/14,FLEET AND FACILITY MGMT,FLEETFM,906,32,3.5,13629.31
9/13/14,PUBLIC HEALTH,HEALTH,557,15,2.7,6932.9
9/13/14,COMMISSION ON HUMAN RELATIONS,HR,18,0,0,0
9/13/14,HUMAN RESOURCES,HUMANRESOURCES,67,0,0,0
9/13/14,IPRA,IPRA,86,4,4.7,1340
9/13/14,LAW,LAW,447,3,0.7,650
9/13/14,OFFICE OF THE MAYOR,MAYOR,105,0,0,0
9/13/14,MAYORS OFFICE-DISABILITIES,MAYOR_DISABIL,30,0,0,0
9/13/14,OFFICE OF BUDGET & MANAGEMENT,OBM,46,0,0,0
9/13/14,OFFICE OF EMERGENCY MGMT & COM,OEMC,1165,78,6.7,44029.85
9/13/14,POLICE,POLICE,13434,374,2.8,244221.52
9/13/14,PROCUREMENT SERV,PROCUREMENT,75,5,6.7,1586
9/13/14,STREETS AND SANITATION,STREETSAN,2062,164,8,81926.45
9/13/14,TRANSPORTATION,TRANS,1193,70,5.9,33727.43
9/13/14,CITY TREASURER,TREASURER,24,0,0,0
9/13/14,WATER MANAGEMENT,WATER,1878,108,5.8,54587.12
9/20/14,ADMINISTRATIVE HEARING,AHMS,40,0,0,0
9/20/14,COMM ANIMAL CARE AND CONTROL,ANIMAL,70,4,5.7,1497.57
9/20/14,AVIATION,AVIATION,1263,49,3.9,19049.09
9/20/14,BUS AFFAIRS AND CONSUMER PROT,BACP,177,3,1.7,781
9/20/14,BUILDINGS,BUILDINGS,261,2,0.8,460
9/20/14,CULTURAL AFFAIRS,CA,79,3,3.8,801.05
9/20/14,CHICAGO BOARD OF EDUCATION,CBOE,44198,2473,5.6,1590650.41
9/20/14,CITY COLLEGES OF CHICAGO,CCC,5729,227,4,146648.47
9/20/14,FIRE DEPARTMENT,CFD,4801,182,3.8,72362.85
9/20/14,CHICAGO HOUSING AUTHORITY,CHA,457,14,3.1,5781.92
9/20/14,CITY CLERK,CLERK,89,0,0,0
9/20/14,DEPARTMENT OF PLANNING AND DEV,COMM_DEVEL,212,9,4.2,1530.96
9/20/14,CITY COUNCIL,COUNCIL,437,16,3.7,4979.57
9/20/14,CHICAGO PARK DISTRICT,CPDT,6999,319,4.6,221316.68
9/20/14,CHICAGO PUBLIC LIBRARY,CPL,973,30,3.1,14930.86
9/20/14,CHICAGO TRANSIT AUTHORITY,CTA,10931,1820,16.6,1043243.53
9/20/14,DOIT,DOIT,95,0,0,0
9/20/14,BOARD OF ELECTION COMMISSIONER,ELECTIONS,116,2,1.7,374.07
9/20/14,BOARD OF ETHICS,ETHICS,9,0,0,0
9/20/14,FAMILY AND SUPPORT SERVICES,FAMILY_SUPPORT,703,23,3.3,10540.73
9/20/14,FINANCE,FINANCE,532,18,3.4,6991.41
9/20/14,FLEET AND FACILITY MGMT,FLEETFM,906,29,3.2,9939.37
9/20/14,PUBLIC HEALTH,HEALTH,557,13,2.3,5062.43
9/20/14,COMMISSION ON HUMAN RELATIONS,HR,18,0,0,0
9/20/14,HUMAN RESOURCES,HUMANRESOURCES,67,0,0,0
9/20/14,IPRA,IPRA,86,4,4.7,1340
9/20/14,LAW,LAW,447,3,0.7,650
9/20/14,OFFICE OF THE MAYOR,MAYOR,105,0,0,0
9/20/14,MAYORS OFFICE-DISABILITIES,MAYOR_DISABIL,30,0,0,0
9/20/14,OFFICE OF BUDGET & MANAGEMENT,OBM,46,0,0,0
9/20/14,OFFICE OF EMERGENCY MGMT & COM,OEMC,1165,69,5.9,41266.41
6/6/15,IPRA,IPRA,87,0,0,0
9/20/14,POLICE,POLICE,13434,283,2.1,218700.58
9/20/14,PROCUREMENT SERV,PROCUREMENT,75,2,2.7,932
9/20/14,STREETS AND SANITATION,STREETSAN,2062,155,7.5,77067.88
9/20/14,TRANSPORTATION,TRANS,1193,58,4.9,30350.16
9/20/14,CITY TREASURER,TREASURER,24,0,0,0
9/20/14,WATER MANAGEMENT,WATER,1878,87,4.6,46846.63
10/4/14,ADMINISTRATIVE HEARING,AHMS,40,0,0,0
10/4/14,COMM ANIMAL CARE AND CONTROL,ANIMAL,70,4,5.7,1497.57
10/4/14,AVIATION,AVIATION,1263,36,2.9,13191.51
10/4/14,BUS AFFAIRS AND CONSUMER PROT,BACP,177,2,1.1,720
10/4/14,BUILDINGS,BUILDINGS,261,1,0.4,60
10/4/14,CULTURAL AFFAIRS,CA,79,2,2.5,601.05
10/4/14,CHICAGO BOARD OF EDUCATION,CBOE,44198,2276,5.1,1482224.6
10/4/14,CITY COLLEGES OF CHICAGO,CCC,5729,208,3.6,133972.42
10/4/14,FIRE DEPARTMENT,CFD,4801,133,2.8,56950.45
10/4/14,CHICAGO HOUSING AUTHORITY,CHA,457,7,1.5,4045.53
10/4/14,CITY CLERK,CLERK,89,0,0,0
10/4/14,DEPARTMENT OF PLANNING AND DEV,COMM_DEVEL,212,6,2.8,1110.96
10/4/14,CITY COUNCIL,COUNCIL,437,13,3,3394.15
10/4/14,CHICAGO PARK DISTRICT,CPDT,6999,279,4,203121.63
10/4/14,CHICAGO PUBLIC LIBRARY,CPL,973,22,2.3,12631.23
10/4/14,CHICAGO TRANSIT AUTHORITY,CTA,10931,1776,16.2,1016215.82
10/4/14,BOARD OF ELECTION COMMISSIONER,ELECTIONS,116,1,0.9,124.07
10/4/14,BOARD OF ETHICS,ETHICS,9,0,0,0
10/4/14,FAMILY AND SUPPORT SERVICES,FAMILY_SUPPORT,703,18,2.6,7542.8
10/4/14,FINANCE,FINANCE,532,18,3.4,6891.41
10/4/14,FLEET AND FACILITY MGMT,FLEETFM,906,24,2.6,8389.79
10/4/14,PUBLIC HEALTH,HEALTH,557,5,0.9,862.84
10/4/14,COMMISSION ON HUMAN RELATIONS,HR,18,0,0,0
10/4/14,HUMAN RESOURCES,HUMANRESOURCES,67,0,0,0
10/4/14,IPRA,IPRA,86,1,1.2,800
10/4/14,LAW,LAW,447,1,0.2,150
10/4/14,OFFICE OF THE MAYOR,MAYOR,105,0,0,0
10/4/14,MAYORS OFFICE-DISABILITIES,MAYOR_DISABIL,30,0,0,0
10/4/14,OFFICE OF BUDGET & MANAGEMENT,OBM,46,0,0,0
10/4/14,OFFICE OF EMERGENCY MGMT & COM,OEMC,1165,56,4.8,33334.01
10/4/14,POLICE,POLICE,13434,187,1.4,108078.28
10/4/14,PROCUREMENT SERV,PROCUREMENT,75,1,1.3,444
10/4/14,STREETS AND SANITATION,STREETSAN,2062,116,5.6,59802.22
10/4/14,TRANSPORTATION,TRANS,1193,43,3.6,22801.26
10/4/14,CITY TREASURER,TREASURER,24,0,0,0
10/4/14,WATER MANAGEMENT,WATER,1878,63,3.4,33656.92
10/11/14,ADMINISTRATIVE HEARING,AHMS,40,0,0,0
10/11/14,COMM ANIMAL CARE AND CONTROL,ANIMAL,71,3,4.2,1297.57
10/11/14,AVIATION,AVIATION,1267,24,1.9,9692.11
10/11/14,BUS AFFAIRS AND CONSUMER PROT,BACP,177,1,0.6,520
